ordinal	address	name
1	180676470	CreateHeatProcessor
2	180695060	SurfaceHeatProcessor::GetProcessorCapabilities
3	180693ac0	SurfaceHeatProcessor::HandleRegionConfigMessage
4	180692900	SurfaceHeatProcessor::HandleSystemContextMessageDisplayChange
5	180693490	SurfaceHeatProcessor::HandleSystemContextMessageHingeAngle
6	180692d00	SurfaceHeatProcessor::HandleSystemContextMessageInputStitching
7	180693820	SurfaceHeatProcessor::HandleSystemContextMessageRegionConfig
8	180695510	SurfaceHeatProcessor::OnDeviceAttached
9	1806956b0	SurfaceHeatProcessor::OnDeviceDetached
10	180695ad0	SurfaceHeatProcessor::OnDeviceReset
11	1806957b0	SurfaceHeatProcessor::OnSystemContextMessage
12	180697160	entry
